水平,すいへい
好き勝手,すきかって
スタンダード,すたんだーど
水流,すいりゅう
スーツケース,すーつけーす
するめ,するめ
スリム,すりむ
ストライキ,すとらいき
スラックス,すらっくす
座り,すわり
住み着く,すみつく
吸い込む,すいこむ
スピーカー,すぴーか
スーパーマーケット,すーぱーまーけっと
スノーボード,すのーぼーど
スカート,すかーと
少ない,すくない
水位,すいい
スムーズ,すむーず
酢漬け,すづけ
スピーチ,すぴーち
水中,すいちゅう
吸い上げる,すいあげる
スパイ,すぱい
過ごす,すごす
好き好き,すきずき
杉,すぎ
すする,すする
スランプ,すらんぷ
吸う,すう
スポンサー,すぽんさー
衰弱,すいじゃく
すき焼き,すきやき
スイッチ,すいっち
隅々,すみずみ
ストレッチ,すとれっち
スタジオ,すたじお
スライダー,すらいだー
澄み切る,すみきる
擦れる,すれる
水蒸気,すいじょうき
スペースシャトル,すぺーすしゃとる
健やか,すこやか
数個,すうこ
スモーク,すもーく
スタンバイ,すたんばい
過ぎる,すぎる
スキーヤー,すきーやー
スイング,すいんぐ
筋肉,すじにく
ストッパー,すとっぱー
水素,すいそ
座る,すわる
すもうとり,すもうとり
ストーリー,すとーりー
数字,すうじ
スト,すと
水星,すいせい
スターター,すたーたー
スパゲッティ,すぱげってぃ
スケッチブック,すけっちぶっく
ステレオタイプ,すてれおたいぷ
すがる,すがる
スポーツカー,すぽーつかー
擦れ擦れ,すれすれ
スタイル,すたいる
水泳,すいえい
ステータス,すてーたす
素振り,すぶり
透き通る,すきとおる
水量,すいりょう
スピッツ,すぴっつ
炊事,すいじ
素顔,すがお
スロット,すろっと
すれ違い,すれちがい
すりつぶす,すりつぶす
スタンプ,すたんぷ
ストッキング,すとっきんぐ
スキー,すきー
炭火,すみび
スニーカー,すにーかー
全て,すべて
スロープ,すろーぷ
スピリット,すぴりっと
スポンジ,すぽんじ
素肌,すはだ
スカイ,すかい
スノー,すのー
スリル,すりる
スポンジケーキ,すぽんじけーき
水槽,すいそう
すく,すく
末っ子,すえっこ
好き嫌い,すききらい
涼しい,すずしい
すすぐ,すすぐ
スタンド,すたんど
巣箱,すばこ
スティック,すてぃっく
勧め,すすめ
筋,すじ
ステッカー,すてっかー
スピード,すぴーど
する,する
水没,すいぼつ
水産物,すいさんぶつ
水圧,すいあつ
砂,すな
すさまじい,すさまじい
スポーティー,すぽーてぃー
水曜日,すいようび
スピーディー,すぴーでぃー
数式,すうしき
ストラップ,すとらっぷ
素直,すなお
スープ,すーぷ
スプリング,すぷりんぐ
数学,すうがく
スカイダイビング,すかいだいびんぐ
ストライカー,すとらいかー
滑る,すべる
吸い取る,すいとる
涼む,すずむ
吸い出す,すいだす
推察,すいさつ
住まい,すまい
巣立つ,すだつ
廃れる,すたれる
数値,すうち
ストロボ,すとろぼ
スチーム,すちーむ
水道,すいどう
スーパー,すーぱー
スポーツ,すぽーつ
救い,すくい
速やか,すみやか
水筒,すいとう
水質,すいしつ
進める,すすめる
素焼き,すやき
ステージ,すてーじ
好き,すき
ストレス,すとれす
すんなり,すんなり
ストライプ,すとらいぷ
ストリート,すとりーと
スキャンダル,すきゃんだる
スペル,すぺる
酢の物,すのもの
炊飯器,すいはんき
ストップ,すとっぷ
スクラップブック,すくらっぷぶっく
垂直,すいちょく
スカ,すか
酢豚,すぶた
スケッチ,すけっち
水害,すいがい
素敵,すてき
スクープ,すくーぷ
スプレー,すぷれー
スピードアップ,すぴーどあっぷ
スライド,すらいど
推測,すいそく
推定,すいてい
隅,すみ
すだれ,すだれ
寸法,すんぽう
スペース,すぺーす
数量,すうりょう
すすぎ,すすぎ
素手,すで
水,すい
すっきり,すっきり
スクーター,すくーたー
好き好む,すきこのむ
遂行,すいこう
崇高,すうこう
水路,すいろ
透ける,すける
スタミナ,すたみな
スター,すたー
ストロー,すとろー
救う,すくう
スペシャル,すぺしゃる
スナック,すなっく
スピーカー,すぴーかー
スポット,すぽっと
鈴虫,すずむし
座り込む,すわりこむ
すすき,すすき
スパーク,すぱーく
滑り,すべり
スペア,すぺあ
捨てる,すてる
滑らす,すべらす
透かし,すかし
すがすがしい,すがすがしい
水曜,すいよう
吹奏楽,すいそうがく
数日,すうじつ
優れる,すぐれる
推理,すいり
すべ,すべ
鋭い,するどい
スチュワーデス,すちゅわーです
スロー,すろー
スカーフ,すかーふ
素早い,すばやい
吸い殻,すいがら
ストレート,すとれーと
スタート,すたーと
ストリップ,すとりっぷ
すごい,すごい
すもう,すもう
スナップ,すなっぷ
硯,すずり
擦れ違う,すれちがう
推理小説,すいりしょうせつ
スリップ,すりっぷ
素晴らしい,すばらしい
砂嵐,すなあらし
ストロベリー,すとろべりー
水滴,すいてき
砂場,すなば
姿,すがた
スーツ,すーつ
ステレオ,すてれお
スライディング,すらいでぃんぐ
末,すえ
据え置き,すえおき
水力,すいりょく
住む,すむ
素足,すあし
衰退,すいたい
すずめ,すずめ
スリー,すりー
水爆,すいばく
スフィンクス,すふぃんくす
ストーブ,すとーぶ
据える,すえる
水上,すいじょう
崇拝,すうはい
ステンレス,すてんれす
スパイス,すぱいす
滑り込む,すべりこむ
スリッパ,すりっぱ
ストライク,すとらいく
済ます,すます
酸っぱい,すっぱい
少なめ,すくなめ
進む,すすむ
すかすか,すかすか
スペシャリスト,すぺしゃりすと
すし,すし
すそ,すそ
スマート,すまーと
すいか,すいか
スタイリスト,すたいりすと
スマッシュ,すまっしゅ
スタンス,すたんす
砂浜,すなはま
鈴,すず
擦り切れる,すりきれる
スライス,すらいす
スパイク,すぱいく
ステッキ,すてっき
すり,すり
スカウト,すかうと
スマイル,すまいる
スコア,すこあ
すね,すね
筋道,すじみち
ステーキ,すてーき
隅っこ,すみっこ
スクリュー,すくりゅー
スキップ,すきっぷ
過ぎ去る,すぎさる
スケート,すけーと
