精力的,せいりょくてき
生活,せいかつ
洗濯,せんたく
染色,せんしょく
生活費,せいかつひ
節度,せつど
潜在的,せんざいてき
先進国,せんしんこく
席,せき
選択肢,せんたくし
青銅,せいどう
セーラー,せーらー
戦死,せんし
鮮度,せんど
西暦,せいれき
責任能力,せきにんのうりょく
生物,せいぶつ
選定,せんてい
セット,せっと
センチ,せんち
製法,せいほう
選手,せんしゅ
洗礼,せんれい
セレクト,せれくと
関所,せきしょ
制定,せいてい
接続,せつぞく
接する,せっする
迫る,せまる
セーフ,せーふ
背中,せなか
選挙,せんきょ
洗濯物,せんたくもの
潜伏,せんぷく
精神病,せいしんびょう
石油ストーブ,せきゆすとーぶ
世帯主,せたいぬし
戦勝,せんしょう
専属,せんぞく
セクシャル,せくしゃる
正座,せいざ
接着,せっちゃく
製鉄,せいてつ
戦略,せんりゃく
先約,せんやく
生後,せいご
セロテープ,せろてーぷ
セーブ,せーぶ
占星術,せんせいじゅつ
西部,せいぶ
成績,せいせき
煎茶,せんちゃ
制圧,せいあつ
先着,せんちゃく
セメント,せめんと
設置,せっち
正統派,せいとうは
船舶,せんぱく
誠意,せいい
せい,せい
背負う,せおう
清流,せいりゅう
制覇,せいは
洗面所,せんめんじょ
生命力,せいめいりょく
世紀末,せいきまつ
積極,せっきょく
窃盗,せっとう
セロリ,せろり
セーラー服,せーらーふく
政略,せいりゃく
世襲,せしゅう
世帯,せたい
専売,せんばい
声優,せいゆう
正常,せいじょう
精神的,せいしんてき
積極的,せっきょくてき
旋風,せんぷう
旋律,せんりつ
接触,せっしょく
鮮魚,せんぎょ
声帯,せいたい
整髪,せいはつ
セッティング,せってぃんぐ
川柳,せんりゅう
生徒,せいと
政治,せいじ
セレモニー,せれもにー
正方形,せいほうけい
船長,せんちょう
せこい,せこい
性能,せいのう
成果,せいか
セントラル,せんとらる
制裁,せいさい
設定,せってい
扇風機,せんぷうき
正統,せいとう
精密機械,せいみつきかい
性格,せいかく
洗濯機,せんたくき
生協,せいきょう
責任者,せきにんしゃ
政令指定都市,せいれいしていとし
選別,せんべつ
宣戦布告,せんせんふこく
設備,せつび
攻める,せめる
洗剤,せんざい
石器,せっき
セパレーツ,せぱれーつ
責め,せめ
せっかく,せっかく
説明,せつめい
製薬,せいやく
せかす,せかす
戦後,せんご
積雪,せきせつ
製造,せいぞう
正当防衛,せいとうぼうえい
性質,せいしつ
世界的,せかいてき
性的,せいてき
静粛,せいしゅく
専門学校,せんもんがっこう
成人病,せいじんびょう
セカンド,せかんど
専攻,せんこう
切ない,せつない
先月,せんげつ
接待,せったい
盛大,せいだい
専業,せんぎょう
整列,せいれつ
戦場,せんじょう
狭い,せまい
専用,せんよう
セックス,せっくす
関脇,せきわけ
狭まる,せばまる
世界,せかい
折衝,せっしょう
選出,せんしゅつ
精密,せいみつ
成人式,せいじんしき
政府,せいふ
西洋風,せいようふう
先日,せんじつ
繊維,せんい
戦国,せんごく
精一杯,せいいっぱい
潜水,せんすい
生息,せいそく
静止,せいし
せりふ,せりふ
精米,せいまい
選抜,せんばつ
接客,せっきゃく
戦争,せんそう
鮮明,せんめい
正義,せいぎ
生物学,せいぶつがく
セルフ,せるふ
正式,せいしき
染色体,せんしょくたい
背番号,せばんごう
説得,せっとく
センター,せんたー
生産額,せいさんがく
責め立てる,せめたてる
選挙区,せんきょく
精肉,せいにく
千切り,せんぎり
説得力,せっとくりょく
石油,せきゆ
請求書,せいきゅうしょ
説教,せっきょう
背伸び,せのび
世代,せだい
線香花火,せんこうはなび
清潔,せいけつ
節句,せっく
制する,せいする
専門家,せんもんか
清掃,せいそう
セキュリティー,せきゅりてぃー
切腹,せっぷく
戦国時代,せんごくじだい
セッター,せったー
セーター,せーたー
石灰,せっかい
狭める,せばめる
政治的,せいじてき
先生,せんせい
せっかち,せっかち
誠実,せいじつ
セクシー,せくしー
積載,せきさい
精通,せいつう
洗面器,せんめんき
生命,せいめい
先祖,せんぞ
政治学,せいじがく
セクハラ,せくはら
請求,せいきゅう
聖地,せいち
戦術,せんじゅつ
生態系,せいたいけい
銭湯,せんとう
世論調査,せろんちょうさ
政党政治,せいとうせいじ
西洋料理,せいようりょうり
生年月日,せいねんつきひ
声量,せいりょう
戦況,せんきょう
節約,せつやく
製図,せいず
競り,せり
生徒会,せいとかい
背骨,せぼね
背広,せびろ
せんべい,せんべい
先手,せんて
センス,せんす
潜入,せんにゅう
正反対,せいはんたい
戦力,せんりょく
セールス,せーるす
接着剤,せっちゃくざい
戦闘機,せんとうき
成熟,せいじゅく
占領,せんりょう
専務,せんむ
制度,せいど
聖書,せいしょ
専修学校,せんしゅうがっこう
戦没,せんぼつ
政治家,せいじか
先決,せんけつ
先天的,せんてんてき
性別,せいべつ
占有,せんゆう
接続詞,せつぞくし
洗脳,せんのう
制服,せいふく
宣教師,せんきょうし
説,せつ
整理,せいり
精神力,せいしんりょく
センチメンタル,せんちめんたる
整形,せいけい
せがむ,せがむ
セミナー,せみなー
整形外科,せいけいげか
先方,せんぽう
洗車,せんしゃ
制御,せいぎょ
設計,せっけい
センチメートル,せんちめーとる
せき髄,せきずい
性欲,せいよく
世間的,せけんてき
石碑,せきひ
世相,せそう
繊細,せんさい
生理的,せいりてき
赤道,せきどう
生産的,せいさんてき
性行為,せいこうい
先週,せんしゅう
宣告,せんこく
線路,せんろ
背筋,せすじ
せみ,せみ
成立,せいりつ
世界記録,せかいきろく
先発投手,せんぱつとうしゅ
世話,せわ
整備,せいび
先導,せんどう
センサー,せんさー
接種,せっしゅ
勢力,せいりょく
世紀,せいき
成長,せいちょう
せん索,せんさく
セーフティー,せーふてぃー
世話役,せわやく
成績表,せいせきひょう
政策,せいさく
先発,せんぱつ
歳暮,せいぼ
静電気,せいでんき
正解,せいかい
千差万別,せんさばんべつ
西洋,せいよう
先輩,せんぱい
成人の日,せいじんのひ
静寂,せいじゃく
政治活動,せいじかつどう
切実,せつじつ
清掃車,せいそうしゃ
設立,せつりつ
せき込む,せきこむ
成功,せいこう
